merged_umls_label,disease_mondo_term_norm,earliest_year,disease,documents
(+)-Tolterodine,frequency,1998.0,frequency,"['ANDA077006', 'ANDA079141', 'ANDA203016', 'ANDA203409', 'ANDA204397', 'ANDA204562', 'ANDA204721', 'ANDA205399', 'ANDA206419', 'ANDA210775', 'ANDA213397', 'ANDA213858', 'ANDA216917', 'NDA020771', 'NDA021228']"
(+)-Tolterodine,overactive bladder,1998.0,overactive bladder,"['ANDA077006', 'ANDA079141', 'ANDA203016', 'ANDA203409', 'ANDA204397', 'ANDA204562', 'ANDA204721', 'ANDA205399', 'ANDA206419', 'ANDA210775', 'ANDA213397', 'ANDA213858', 'ANDA216917', 'NDA020771', 'NDA021228']"
(+)-Tolterodine,urge urinary incontinence,1998.0,urge urinary incontinence,"['ANDA077006', 'ANDA079141', 'ANDA203016', 'ANDA203409', 'ANDA204397', 'ANDA204562', 'ANDA204721', 'ANDA205399', 'ANDA206419', 'ANDA210775', 'ANDA213397', 'ANDA213858', 'ANDA216917', 'NDA020771', 'NDA021228']"
(+)-Tolterodine,urgency,1998.0,urgency,"['ANDA077006', 'ANDA079141', 'ANDA203016', 'ANDA203409', 'ANDA204397', 'ANDA204562', 'ANDA204721', 'ANDA205399', 'ANDA206419', 'ANDA210775', 'ANDA213397', 'ANDA213858', 'ANDA216917', 'NDA020771', 'NDA021228']"
(+-)-Milnacipran,fibromyalgia,2009.0,fibromyalgia,"['ANDA205081', 'NDA022256']"
(-)-Pramipexole,Parkinson disease,2010.0,parkinson's disease; parkinson’s disease; pd,"['ANDA090865', 'ANDA202164', 'ANDA202702', 'ANDA203354', 'ANDA206156', 'ANDA207011', 'ANDA212797', 'ANDA213444'] ; ['ANDA078894', 'ANDA090781', 'ANDA202164', 'ANDA202633', 'ANDA203855', 'ANDA204518'] ; ['ANDA078894', 'ANDA090781', 'ANDA202164', 'ANDA213444']"
(-)-Pramipexole,restless legs syndrome,2010.0,restless legs syndrome; rls,"['ANDA090781', 'ANDA090865', 'ANDA202164', 'ANDA202633', 'ANDA202702', 'ANDA203855', 'ANDA207011'] ; ['ANDA090781', 'ANDA202164']"
(18F)FES,estrogen receptor (er)-positive lesions,2020.0,estrogen receptor (er)-positive lesions,['NDA212155']
(18F)FES,recurrent or metastatic breast cancer,2020.0,recurrent or metastatic breast cancer,['NDA212155']
"1,2-Distearoyllecithin",suboptimal echocardiograms,2014.0,suboptimal echocardiograms,['NDA203684']
17 alpha Hydroxyprogesterone,abnormal uterine bleeding,2019.0,abnormal uterine bleeding,['ANDA211142']
17 alpha Hydroxyprogesterone,advanced adenocarcinoma of the uterine corpus,2019.0,advanced adenocarcinoma of the uterine corpus,['ANDA211142']
17 alpha Hydroxyprogesterone,amenorrhea,2019.0,amenorrhea,['ANDA211142']
3 Iodobenzylguanidine,adrenal gland pheochromocytoma,2008.0,pheochromocytoma,['NDA022290']
3 Iodobenzylguanidine,heart failure,2008.0,heart failure,['NDA022290']
3 Iodobenzylguanidine,neuroblastoma,2008.0,neuroblastoma,['NDA022290']
"3,5-dihydroxy-4-isopropylstilbene",psoriasis,2022.0,plaque psoriasis,['NDA215272']
"5'-Phosphate, Riboflavin",corneal ectasia following refractive surgery,2016.0,corneal ectasia following refractive surgery,['NDA203324']
"5'-Phosphate, Riboflavin",keratoconus,2016.0,keratoconus; progressive keratoconus,['NDA219910'] ; ['NDA203324']
"5,6-Dichloro-1-beta-ribofuranosylbenzimidazole",post-transplant cytomegalovirus (cmv) infection/disease,2021.0,post-transplant cytomegalovirus (cmv) infection/disease,['NDA215596']
6 Aminocaproic Acid,fibrinolysis,1987.0,fibrinolysis,"['ANDA070010', 'ANDA212492', 'ANDA212938']"
6 Aminocaproic Acid,hemorrhagic disease,1964.0,bleeding,"['ANDA070010', 'ANDA071192', 'ANDA209060', 'ANDA212492', 'ANDA212494', 'ANDA212780', 'ANDA212938', 'ANDA213213', 'ANDA213216', 'ANDA213825', 'ANDA213928', 'ANDA214140', 'ANDA216464', 'ANDA216804', 'NDA015197', 'NDA015230']"
AMIFAMPRIDINE,Lambert-Eaton myasthenic syndrome,2018.0,lambert-eaton myasthenic syndrome; lems,['NDA208078'] ; ['NDA208078']
ANAKINRA,CINCA syndrome,2001.0,neonatal-onset multisystem inflammatory disease; nomid,['BLA103950'] ; ['BLA103950']
ANAKINRA,cryopyrin-associated periodic syndrome,2001.0,caps; cryopyrin-associated periodic syndromes,['BLA103950'] ; ['BLA103950']
ANAKINRA,myelodysplastic syndrome with single lineage dysplasia,2001.0,ra,['BLA103950']
ANAKINRA,rheumatoid arthritis,2001.0,rheumatoid arthritis,['BLA103950']
